Seq No.,UDISE Code,School Name,School Location
1,36231200601,MPPS MADGUL,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
2,36231200803,MPPS RAMDUGYAL,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
3,36231200402,MPPS PAKEER TANDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
4,36231201001,MPUPS ANNEBOINPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
5,36231200305,ZPHS NAGILLA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
6,36231200705,MPPS GOPYA TANDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
7,36231200702,MPPS SANDRALAGADDA THANDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
8,36231200607,KGBV MADGUL,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
9,36231200407,MPUPS APPAREDDIPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
10,36231200901,MPPS BRAHMANAPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
11,36231201305,MPPS PALLE TANDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
12,36231200104,ZPHS AOURPALLY,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
13,36231200602,MPPS NARSAIPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
14,36231200201,MPUPS DODLAPAHAD,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
15,36231200603,MPPS PEDDA MADGUL,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
16,36231200401,MPPS GUDI TANDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
17,36231200502,ZPHS KULKULEPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
18,36231201502,MPPS ANTHAMPET,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
19,36231201509,MPPS KUBYA TANDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
20,36231201507,MPPS ANDUGUL,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
21,36231201510,MPPS CHINYA TANDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
22,36231200102,MPPS NALLAVARIPALLY,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
23,36231200406,MPPS PUTTAGADDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
24,36231201301,MPPS ARKAPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
25,36231201201,MPUPS SUDDAPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
26,36231201302,MPPS ASHIREDDYPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
27,36231200804,MPPS DILWARKHANPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
28,36231200810,ZPHS IRWIN,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
29,36231200304,MPPS NELLIKONDA TANDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
30,36231200708,ZPHS KALAKONDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
31,36231200301,MPPS NAGILLA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
32,36231201508,ZPHS ANDUGUL,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
33,36231200101,MPPS AOURPALLEY,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
34,36231201308,ZPHS ARKAPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
35,36231200902,MPPS KASHAGUDEM,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
36,36231200704,MPPS THODELUGUNDU TANDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
37,36231200707,MPUPS CHANDRAINPALLY,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
38,36231200306,MPPS KATRAM TANDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
39,36231201401,MPPS NARSAMPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
40,36231200302,MPPS FEROZNAGAR,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
41,36231200604,MPPS JAYAPRAKASH NAGAR,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
42,36231201402,MPPS CHOWTAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
43,36231200701,MPPS KALAKONDA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
44,36231200801,MPPS IRWIN,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
45,36231201404,MPUPS GIRIKOTHAPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
46,36231200605,ZPHS MADGUL,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
47,36231200802,MPPS NALLACHERUVU,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
48,36231200501,MPPS KULKULEPALLE,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
49,36231200610,"UPS NAVODAYA VIDYALAYAM, MADGUL","State : Telangana
District : RANGAREDDY
Block : MADGUL"
50,36231200906,THE RAINBOW PUBIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
51,36231200812,"UPS ST.SAVIOS (EM), IRWIN","State : Telangana
District : RANGAREDDY
Block : MADGUL"
52,36231200307,CHAITANYA NAGILLA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
53,36231200608,ST MARYS UPS MADGUL,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
54,36231200308,UPS St.MARYs (EM) NAGILLA,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
55,36231200903,AIDED ST.GAETANS BRAHMANPALY,"State : Telangana
District : RANGAREDDY
Block : MADGUL"
56,36231200614,"HS NAVODAYA VIDYALAYAM, MADGUL","State : Telangana
District : RANGAREDDY
Block : MADGUL"
57,36231200905,"UPS ST. GAETANS (E/M), BRAHMANPALLY (NEW)","State : Telangana
District : RANGAREDDY
Block : MADGUL"
58,36231200105,"UPS VIDYA CONCEPT, AOURPALLY","State : Telangana
District : RANGAREDDY
Block : MADGUL"
